interaction,direction,correspondent_id,datetime,call_duration,antenna_id
call,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2016-12-21 00:25:30,4,
call,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2016-12-21 00:25:56,42,
call,out,18452df8a2654696b08897d66b3ebfda36d3ad60,2016-12-21 00:30:43,,
call,out,18452df8a2654696b08897d66b3ebfda36d3ad60,2016-12-21 00:30:49,,
call,out,18452df8a2654696b08897d66b3ebfda36d3ad60,2016-12-21 00:31:15,3,
call,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2016-12-21 00:31:29,4,
call,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2016-12-21 00:34:31,41,
call,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2016-12-21 00:37:28,33,
call,out,da02b5d0a2ed9d5ab271769f692ab641b43893d3,2016-12-21 01:23:12,54,
call,out,18452df8a2654696b08897d66b3ebfda36d3ad60,2016-12-21 03:04:04,336,
call,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2016-12-21 18:21:39,15,
call,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2016-12-21 18:25:17,33,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2016-12-21 19:05:19,,
text,in,593ed24a7e61427452aa9d9c31218e910947a42b,2016-12-21 21:15:40,,
call,out,5fed21afe6e8968cf22b89638aca4d1b696aa96f,2016-12-21 22:41:21,4,
call,in,5fed21afe6e8968cf22b89638aca4d1b696aa96f,2016-12-21 22:41:41,3951,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2016-12-21 23:59:46,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2016-12-22 00:34:34,,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2016-12-22 00:53:23,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2016-12-22 00:58:22,,
call,out,7e05ea2b59ae06fe46de7928dd21e11d5a4e310c,2016-12-22 21:34:21,29,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2016-12-22 23:18:45,,
call,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2016-12-22 23:41:03,140,
call,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2016-12-22 23:43:44,49,
call,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2016-12-23 00:59:34,,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2016-12-23 01:00:04,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2016-12-23 01:00:21,,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2016-12-23 18:37:45,,
call,out,f7518e4ac4747738b07f7e7d96c9dfdf412dfc4b,2016-12-24 19:32:01,75,
call,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2016-12-24 21:50:36,11,
call,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2016-12-24 22:02:45,7,
call,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2016-12-24 22:11:37,24,
call,out,8985036da1e73fc1499e196830ce863f9911aff1,2016-12-24 23:48:51,25,
call,in,c40df96469e79c863c88446dabc5c41c823aec9f,2016-12-26 02:50:42,2331,
call,in,d8b023a8465465c5bb63f2187cb3c41a11a9baad,2016-12-27 04:15:38,14,
call,out,18452df8a2654696b08897d66b3ebfda36d3ad60,2016-12-27 08:00:29,1085,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2016-12-27 18:50:17,,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2016-12-27 21:18:55,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2016-12-27 21:51:07,,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2016-12-27 23:39:36,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2016-12-27 23:39:57,,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2016-12-27 23:40:30,,
call,out,7e05ea2b59ae06fe46de7928dd21e11d5a4e310c,2016-12-28 19:42:08,73,
call,out,891b4b098e6d9d3281246d7939b8a664711561da,2016-12-29 19:05:22,14,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2016-12-29 19:29:50,,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2016-12-29 21:46:50,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2016-12-29 21:48:57,,
call,in,7739122290029e32dba9b7bf0f7a734548e958ab,2016-12-30 21:12:41,117,
text,out,7739122290029e32dba9b7bf0f7a734548e958ab,2016-12-30 21:33:04,,
text,in,7739122290029e32dba9b7bf0f7a734548e958ab,2016-12-30 21:33:28,,
text,in,7739122290029e32dba9b7bf0f7a734548e958ab,2016-12-30 21:34:31,,
text,out,7739122290029e32dba9b7bf0f7a734548e958ab,2016-12-31 03:33:01,,
text,in,7739122290029e32dba9b7bf0f7a734548e958ab,2016-12-31 03:35:36,,
text,out,7739122290029e32dba9b7bf0f7a734548e958ab,2016-12-31 03:58:14,,
text,in,7739122290029e32dba9b7bf0f7a734548e958ab,2016-12-31 03:58:42,,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2016-12-31 08:51:52,,
text,out,7739122290029e32dba9b7bf0f7a734548e958ab,2016-12-31 08:52:41,,
call,out,18452df8a2654696b08897d66b3ebfda36d3ad60,2017-01-1 06:00:06,,
call,out,18452df8a2654696b08897d66b3ebfda36d3ad60,2017-01-1 06:00:18,,
call,out,18452df8a2654696b08897d66b3ebfda36d3ad60,2017-01-1 06:00:47,,
call,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-01-1 06:31:38,,
call,in,5fed21afe6e8968cf22b89638aca4d1b696aa96f,2017-01-2 01:26:12,3925,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-01-3 18:02:02,,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-01-3 19:32:44,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-01-3 19:36:51,,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-01-3 21:39:40,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-01-4 02:06:33,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-01-4 18:12:55,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-01-4 18:15:11,,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-01-4 18:25:36,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-01-4 18:25:59,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-01-4 21:24:05,,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-01-4 21:25:55,,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-01-5 20:13:59,,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-01-5 22:13:54,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-01-5 22:14:36,,
call,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-01-5 22:29:03,57,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-01-6 18:11:23,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-01-6 18:25:54,,
text,in,593ed24a7e61427452aa9d9c31218e910947a42b,2017-01-6 23:01:51,,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-01-7 01:34:14,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-01-7 02:18:47,,
call,out,fdbb904c193e38e88e455e645af2392471e2a1aa,2017-01-7 20:33:29,13,
call,in,5fed21afe6e8968cf22b89638aca4d1b696aa96f,2017-01-8 23:22:04,2040,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-01-9 17:53:26,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-01-9 18:07:45,,
call,out,fdbb904c193e38e88e455e645af2392471e2a1aa,2017-01-9 18:28:32,219,
call,out,fdbb904c193e38e88e455e645af2392471e2a1aa,2017-01-9 18:42:40,340,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-01-10 01:30:35,,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-01-10 01:40:58,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-01-10 18:25:02,,
